site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
P351 09JAN19 2009.0513 54850 1515 2 -114.7  -1539 -0.852453   4859868  0.452064  2692  0.608748  0.0083 0.000475 0.000637 0.001873  0.084775 -0.118383 -0.193754
P351 09JAN20 2009.0541 54851 1515 3 -114.7  -1539 -0.851567   4859868  0.452988  2692  0.609764  0.0083 0.000470 0.000627 0.001821  0.059259 -0.087296 -0.162442
P351 09JAN21 2009.0568 54852 1515 4 -114.7  -1539 -0.851516   4859868  0.451699  2692  0.609749  0.0083 0.000472 0.000630 0.001842  0.072448 -0.090814 -0.170695
P351 09JAN22 2009.0595 54853 1515 5 -114.7  -1539 -0.850658   4859868  0.451930  2692  0.611162  0.0083 0.000475 0.000633 0.001853  0.062290 -0.104077 -0.152331
P351 09JAN23 2009.0623 54854 1515 6 -114.7  -1539 -0.851637   4859868  0.454709  2692  0.604373  0.0083 0.000469 0.000632 0.001836  0.058014 -0.073232 -0.153823
P351 09JAN24 2009.0650 54855 1515 7 -114.7  -1539 -0.851320   4859868  0.453678  2692  0.602018  0.0083 0.000467 0.000633 0.001828  0.054069 -0.072001 -0.164818
P351 09JAN25 2009.0678 54856 1516 1 -114.7  -1539 -0.850877   4859868  0.450915  2692  0.599400  0.0083 0.000469 0.000632 0.001829  0.064813 -0.081976 -0.162225
P351 09JAN26 2009.0705 54857 1516 2 -114.7  -1539 -0.850302   4859868  0.451581  2692  0.598505  0.0083 0.000466 0.000624 0.001804  0.044916 -0.078072 -0.150027
P351 09JAN27 2009.0732 54858 1516 3 -114.7  -1539 -0.851390   4859868  0.452192  2692  0.597343  0.0083 0.000468 0.000624 0.001796  0.049679 -0.047345 -0.134818
P351 09JAN28 2009.0760 54859 1516 4 -114.7  -1539 -0.850622   4859868  0.453128  2692  0.598789  0.0083 0.000468 0.000627 0.001798  0.055559 -0.061424 -0.141921
P351 09JAN29 2009.0787 54860 1516 5 -114.7  -1539 -0.851130   4859868  0.453874  2692  0.593935  0.0083 0.000469 0.000630 0.001818  0.051117 -0.056953 -0.140559
P351 09JAN30 2009.0815 54861 1516 6 -114.7  -1539 -0.850782   4859868  0.453236  2692  0.599768  0.0083 0.000465 0.000624 0.001800  0.050087 -0.058397 -0.130961
P351 09JAN31 2009.0842 54862 1516 7 -114.7  -1539 -0.850446   4859868  0.451301  2692  0.609882  0.0083 0.000465 0.000620 0.001810  0.048030 -0.073375 -0.137650
P351 09FEB01 2009.0869 54863 1517 1 -114.7  -1539 -0.850913   4859868  0.454066  2692  0.595998  0.0083 0.000464 0.000621 0.001798  0.047496 -0.055288 -0.129450
P351 09FEB02 2009.0897 54864 1517 2 -114.7  -1539 -0.848264   4859868  0.453768  2692  0.594301  0.0083 0.000472 0.000630 0.001837  0.066857 -0.075993 -0.138936
P351 09FEB03 2009.0924 54865 1517 3 -114.7  -1539 -0.852008   4859868  0.453960  2692  0.593403  0.0083 0.000472 0.000636 0.001838  0.051217 -0.061048 -0.135653
P351 09FEB04 2009.0951 54866 1517 4 -114.7  -1539 -0.850216   4859868  0.451141  2692  0.599745  0.0083 0.000469 0.000628 0.001827  0.059727 -0.069939 -0.148494
P351 09FEB05 2009.0979 54867 1517 5 -114.7  -1539 -0.851581   4859868  0.450895  2692  0.603131  0.0083 0.000468 0.000624 0.001818  0.069698 -0.071663 -0.138948
P351 09FEB06 2009.1006 54868 1517 6 -114.7  -1539 -0.851833   4859868  0.451069  2692  0.606276  0.0083 0.000471 0.000629 0.001839  0.071295 -0.086764 -0.147411
P351 09FEB07 2009.1034 54869 1517 7 -114.7  -1539 -0.849925   4859868  0.453644  2692  0.602497  0.0083 0.000475 0.000631 0.001845  0.081237 -0.095970 -0.136745
